,x,y,z,Vx,Vy,Vz,cloneOf
18817,-2176693740.9814234,860978817.9308192,-601308762.3398056,-318732.1821575269,-487923.4605835125,460968.52666562586,1050
18818,-2259130596.3203406,719537268.8699182,-468452198.304593,-259136.17924548555,-509055.7683358791,475249.57152740966,1050
18819,-2078520894.3705533,986284001.0345479,-740166978.1800606,-375398.2909642364,-457256.20922242315,449604.68433462427,1050
18820,-2177377774.9696093,853080095.1538764,-610026860.8352672,-318207.7957532838,-481868.2310091763,467651.8967917171,1050
18821,-2259663495.9645,713383734.6452392,-475244070.735228,-258595.54707752826,-502812.9445979565,482139.9959382891,1050
18822,-2079362731.812502,976563079.717701,-750618128.9453455,-374886.92789548804,-451351.36357414915,455953.0982456491,1050
18823,-2178071596.049426,845068358.2213216,-618640434.3685516,-317675.9064794802,-475726.3638002874,474255.13717277156,1050
18824,-2260204020.2848263,707142156.252652,-481954512.54090565,-258047.17959720668,-496480.79914647323,488947.80814292794,1050
18825,-1837633496.996387,898089937.2990308,-626740072.2966851,-411389.15727407567,-518260.01013197924,469778.7228506439,1050
18826,-1925518663.0153322,775774735.9655178,-516543280.27831316,-348987.63733133394,-545879.2195667609,488620.5397882215,1050
18827,-1998749469.348774,647555420.4657146,-402415281.99966323,-283930.11074400396,-569343.9585297547,503743.65938086226,1050
18828,-1838346741.0894194,889853917.6560646,-636322864.3868347,-410854.53867552703,-512086.62668281334,476961.5918396285,1050
18829,-1926106500.7167,768986817.3516264,-524441174.6036785,-348431.5763275096,-539458.2349488386,496091.49824570265,1050
18830,-1999207426.858624,642267263.0402068,-408568170.8155491,-283356.8392949018,-562724.2403131151,511445.84880189045,1050
18831,-1839070746.3043616,881493636.4702499,-645796625.8299707,-410311.85398015357,-505820.101863757,484062.7359152562,1050
18832,-1926703207.4619613,762096485.5240396,-532249208.63360584,-347867.12571301794,-532940.3732604602,503477.45397884527,1050
18833,-1999672293.835571,636899320.1565523,-414651053.5786802,-282774.9185712927,-556004.6466184555,519060.40460965683,1050
18834,-1839805388.5866466,873010526.2327288,-655159733.3458409,-409761.1961741841,-499461.50941157795,491080.9383330466,1050
18835,-1927308681.0084863,755104921.1056451,-539966044.5016603,-347294.3822035658,-526326.7513036717,510777.14144215774,1050
18836,-2000143990.6270516,631452511.5841297,-420662888.0184102,-282184.4482822969,-549186.328813563,526586.0220892237,1050
18837,-1840550542.059102,864406040.4807693,-664410582.6141739,-409202.65960999887,-493011.9388383585,498014.9965601453,1050
18838,-1927922817.6114998,748013322.0650122,-547590359.9677423,-346713.4439358052,-519618.50228854845,517989.309871772,1050
