"spkid","a","e","i","om","w","ma"
54385929,5.616,0.2571,8.17,212.87,52.74,293.46
3793612,5.535,0.1845,19.03,192.73,354.97,338.08
3794828,6.085,0.2802,6.12,230.86,218.88,308.87
54447159,5.558,0.1049,5.74,296.53,149.72,67.43
54447672,5.947,0.3357,29.48,325.53,109.34,52.40
54447631,5.639,0.2018,7.01,326.57,147.89,35.18
54448201,5.733,0.2306,17.99,183.18,284.35,41.02
54448167,5.759,0.2088,6.30,189.24,331.82,2.46
54450834,5.626,0.2366,28.86,329.17,110.55,357.15
54450837,5.61,0.1987,8.00,196.79,277.33,34.75
54452276,5.529,0.2250,6.50,303.85,214.34,4.26
54452231,5.522,0.1361,5.67,221.77,266.64,30.92
54453014,5.782,0.1943,7.56,203.67,278.34,29.90
54454425,5.533,0.1090,13.37,177.93,329.88,10.66
54454481,5.837,0.2061,5.21,292.04,177.43,38.54
54458565,5.685,0.1694,2.18,290.60,201.46,25.13
54458568,5.587,0.1598,6.35,222.41,248.84,43.14
54458576,5.574,0.1983,2.79,205.04,299.65,14.63
54458586,5.677,0.1922,6.49,324.41,154.64,32.58
54458548,6.04,0.2406,3.34,170.92,296.68,41.00
54464912,5.595,0.1954,3.78,298.32,154.14,57.72
54464858,5.679,0.1255,4.81,238.49,203.35,72.85
54464866,5.545,0.0939,13.74,334.41,127.33,54.78
54464872,5.756,0.1064,6.14,229.87,298.57,356.61
54464878,5.527,0.1868,16.65,173.82,311.38,29.50
54474143,6.635,0.3186,8.22,312.45,187.93,10.60
54474103,5.531,0.1370,11.59,175.69,293.67,44.79
54474138,5.703,0.1999,5.18,315.00,216.97,356.54
54474032,5.508,0.0856,8.12,196.90,270.05,47.85
54181327,5.967,0.3611,4.57,187.18,95.54,128.28
3669365,9.162,0.4167,19.52,59.06,119.14,148.85
54474202,5.509,0.0758,3.27,192.89,328.72,24.09
3667401,5.801,0.5894,21.53,299.65,238.75,273.86
3670090,7.34,0.3251,31.31,110.76,71.81,206.07
3698590,7.153,0.1037,22.90,11.78,173.83,227.66
54462416,6.073,0.2474,3.89,37.46,145.48,21.45
54508070,5.554,0.0704,6.64,70.56,103.82,31.94
3672406,7.007,0.2909,95.83,289.47,311.13,228.10
54273067,5.857,0.3116,21.35,218.62,51.93,253.58
3671945,6.596,0.7835,24.12,344.20,296.72,221.17
3862863,5.899,0.3909,32.22,84.26,151.26,262.56
3672937,16.1,0.6434,12.26,134.59,91.23,60.33
54000314,6.285,0.4239,27.55,27.90,253.31,219.67
3673532,18.76,0.5256,6.26,183.74,84.24,38.27
3782708,5.646,0.5884,33.83,300.43,313.27,287.33
3755421,23.05,0.1994,11.37,96.55,232.11,38.09
3678612,15.39,0.6875,9.64,105.51,255.29,54.23
54181560,5.604,0.7503,5.88,124.64,258.83,178.87
